ensembl_gene_id	description	external_gene_name	gene_biotype
AT3G11415			otherRNA
AT1G31258	other RNA [Source:TAIR;Acc:AT1G31258]		otherRNA
AT5G24735	other RNA [Source:TAIR;Acc:AT5G24735]		otherRNA
AT2G45780	other RNA [Source:TAIR;Acc:AT2G45780]		otherRNA
AT2G42425	Unknown gene [Source:TAIR;Acc:AT2G42425]		otherRNA
AT4G01533	other RNA [Source:TAIR;Acc:AT4G01533]		otherRNA
AT4G09195			otherRNA
AT1G79075	other RNA [Source:TAIR;Acc:AT1G79075]		otherRNA
AT5G10278	other RNA [Source:TAIR;Acc:AT5G10278]		otherRNA
AT1G67238	other RNA [Source:TAIR;Acc:AT1G67238]		otherRNA
AT4G36648	other RNA [Source:TAIR;Acc:AT4G36648]		otherRNA
AT4G03605			otherRNA
AT2G15128	other RNA [Source:TAIR;Acc:AT2G15128]		otherRNA
AT3G02832			otherRNA
AT3G48115	other RNA [Source:TAIR;Acc:AT3G48115]		otherRNA
AT1G07977			otherRNA
AT1G18745			otherRNA
AT5G40275	other RNA [Source:TAIR;Acc:AT5G40275]		otherRNA
AT4G09405			otherRNA
AT5G02975			otherRNA
AT5G24206	other RNA [Source:TAIR;Acc:AT5G24206]		otherRNA
AT5G23155	other RNA [Source:TAIR;Acc:AT5G23155]		otherRNA
AT3G45638	other RNA [Source:TAIR;Acc:AT3G45638]		otherRNA
AT5G24205	other RNA [Source:TAIR;Acc:AT5G24205]		otherRNA
AT5G03285	other RNA [Source:TAIR;Acc:AT5G03285]		otherRNA
AT3G00980			otherRNA
AT3G25795	other RNA [Source:TAIR;Acc:AT3G25795]		otherRNA
AT2G42485	other RNA [Source:TAIR;Acc:AT2G42485]		otherRNA
AT3G52748	other RNA [Source:TAIR;Acc:AT3G52748]		otherRNA
AT3G52742	other RNA [Source:TAIR;Acc:AT3G52742]		otherRNA
AT3G60176	other RNA [Source:TAIR;Acc:AT3G60176]		otherRNA
AT1G32172	other RNA [Source:TAIR;Acc:AT1G32172]		otherRNA
AT1G26558	other RNA [Source:TAIR;Acc:AT1G26558]		otherRNA
AT4G16892	other RNA [Source:TAIR;Acc:AT4G16892]		otherRNA
AT2G10537	other RNA [Source:TAIR;Acc:AT2G10537]		otherRNA
AT1G78865			otherRNA
AT2G09215			otherRNA
AT1G10682	other RNA [Source:TAIR;Acc:AT1G10682]		otherRNA
AT2G19796	other RNA [Source:TAIR;Acc:AT2G19796]		otherRNA
AT1G04425	other RNA [Source:TAIR;Acc:AT1G04425]		otherRNA
AT1G15405	other RNA [Source:TAIR;Acc:AT1G15405]		otherRNA
AT2G45245	other RNA [Source:TAIR;Acc:AT2G45245]		otherRNA
AT1G06677			otherRNA
AT2G45023	other RNA [Source:TAIR;Acc:AT2G45023]		otherRNA
AT1G14518	other RNA [Source:TAIR;Acc:AT1G14518]		otherRNA
AT5G05785			otherRNA
AT1G19968	other RNA [Source:TAIR;Acc:AT1G19968]		otherRNA
AT2G36307	ZPR4 (LITTLE ZIPPER 4); other RNA [Source:TAIR;Acc:AT2G36307]	ZPR4	otherRNA
AT1G24068	other RNA [Source:TAIR;Acc:AT1G24068]		otherRNA
AT3G44798	other RNA [Source:TAIR;Acc:AT3G44798]		otherRNA
AT5G06095			otherRNA
AT1G08933			otherRNA
AT3G04535			otherRNA
AT4G30872	other RNA [Source:TAIR;Acc:AT4G30872]		otherRNA
AT3G07485			otherRNA
AT3G03065			otherRNA
AT5G33439	other RNA [Source:TAIR;Acc:AT5G33439]		otherRNA
AT3G05215			otherRNA
AT5G05295			otherRNA
AT3G61198	other RNA [Source:TAIR;Acc:AT3G61198]		otherRNA
